日期,确诊总数,治愈总数,死亡人数,感染死亡率,感染治愈率,住院死亡率,住院治愈率
20200830,90395,85031,2,2.212511753968693e-05,0.9406604347585596,2.352028036174191e-05,0.9999764797196382
20200831,90402,85056,0,0.0,0.94086414017389,0.0,1.0
20200901,90422,85119,1,1.1059255490920352e-05,0.9413527681316494,1.174812030075188e-05,0.9999882518796992
20200902,90442,85166,3,3.3170429667632293e-05,0.941664271024524,3.522408388028508e-05,0.9999647759161198
20200903,90475,85208,1,1.1052777010223819e-05,0.9417850234871511,1.173584949946602e-05,0.9999882641505006
20200904,90498,85253,0,0.0,0.9420429180755375,0.0,1.0
20200905,90517,85310,0,0.0,0.9424748942187655,0.0,1.0
20200906,90551,85346,2,2.208700069574052e-05,0.9425185806893353,2.3433472371936072e-05,0.9999765665276281
20200907,90573,85376,2,2.2081635807580627e-05,0.9426208693540017,2.3425238351800228e-05,0.9999765747616483
20200908,90573,85376,2,2.2081635807580627e-05,0.9426208693540017,2.3425238351800228e-05,0.9999765747616483
20200909,90595,85432,1,1.1038136762514487e-05,0.9430100998951377,1.1705078833705945e-05,0.9999882949211663
20200910,90623,85480,0,0.0,0.9432484027233704,0.0,1.0
20200911,90643,85501,0,0.0,0.9432719570181922,0.0,1.0
20200912,90643,85501,0,0.0,0.9432719570181922,0.0,1.0
20200913,90695,85562,1,1.1025966150283919e-05,0.9434037157505927,1.1687294741886095e-05,0.9999883127052581
20200914,90718,85578,1,1.1023170704821534e-05,0.9433409025772174,1.1685109664754204e-05,0.9999883148903352
20200915,90734,85605,1,1.1021226882976612e-05,0.943472127317213,1.1681424199238372e-05,0.9999883185758007
20200916,90734,85605,1,1.1021226882976612e-05,0.943472127317213,1.1681424199238372e-05,0.9999883185758007
20200919,90840,85706,1,1.1008366358432408e-05,0.943483047115808,1.1667658417632165e-05,0.9999883323415824
20200918,90840,85706,1,1.1008366358432408e-05,0.943483047115808,1.1667658417632165e-05,0.9999883323415824
20200920,90876,85718,0,0.0,0.9432413398477045,0.0,1.0
20200920,90876,85718,0,0.0,0.9432413398477045,0.0,1.0
20200921,90890,85736,0,0.0,0.9432940917592695,0.0,1.0
20200922,90908,85754,0,0.0,0.943305319663836,0.0,1.0
20200923,90918,85784,1,1.0998922105633647e-05,0.9435315339096768,1.165704960074605e-05,0.9999883429503993
20200924,90933,85803,0,0.0,0.9435848371878196,0.0,1.0
20200925,90951,85823,1,1.0994931336653802e-05,0.9436179921056393,1.1651752423564503e-05,0.9999883482475764
20200926,90966,85840,0,0.0,0.9436492755535035,0.0,1.0
20200927,90993,85861,0,0.0,0.943600057147253,0.0,1.0
20200928,91018,85880,0,0.0,0.9435496275461996,0.0,1.0
20200929,91041,85905,0,0.0,0.9435858569216068,0.0,1.0
20200930,91041,85905,0,0.0,0.9435858569216068,0.0,1.0
20201001,91082,85961,0,0.0,0.943775938165609,0.0,1.0
20201002,91101,85978,0,0.0,0.9437657105849552,0.0,1.0
20201003,91121,85995,0,0.0,0.9437451301017329,0.0,1.0
20201004,91146,86014,0,0.0,0.9436947315296338,0.0,1.0
20201005,91170,86026,0,0.0,0.9435779313370626,0.0,1.0
20201006,91188,86046,0,0.0,0.9436110014475589,0.0,1.0
20201007,91212,86078,0,0.0,0.9437135464631846,0.0,1.0
20201008,91252,86099,0,0.0,0.9435300048218122,0.0,1.0
20201009,91278,86128,0,0.0,0.9435789565941409,0.0,1.0
20201010,91305,86146,0,0.0,0.943497070259022,0.0,1.0
20201011,91333,86157,0,0.0,0.9433282603221179,0.0,1.0
20201012,91359,86179,0,0.0,0.9433006053043488,0.0,1.0
20201013,91388,86196,0,0.0,0.9431872893596533,0.0,1.0
20201014,91399,86211,0,0.0,0.943237891005372,0.0,1.0
20201015,91436,86234,0,0.0,0.943107747495516,0.0,1.0
20201016,91460,86246,0,0.0,0.9429914716816095,0.0,1.0
20201017,91490,86282,0,0.0,0.9430757459831676,0.0,1.0
20201018,91507,86310,0,0.0,0.9432065306479286,0.0,1.0
20201019,91546,86333,0,0.0,0.9430559500142005,0.0,1.0
20201020,91574,86379,0,0.0,0.9432699237774914,0.0,1.0
20201021,91588,86394,0,0.0,0.9432895139101193,0.0,1.0
20201022,91621,86426,0,0.0,0.9432990253326202,0.0,1.0
20201023,91656,86447,0,0.0,0.9431679322684822,0.0,1.0
20201024,91678,86476,0,0.0,0.9432579244747922,0.0,1.0
20201025,91701,86504,0,0.0,0.9433266812793754,0.0,1.0
20201026,91725,86524,0,0.0,0.9432979013355137,0.0,1.0
20201027,91772,86533,0,0.0,0.9429128710282003,0.0,1.0
20201028,91821,86557,0,0.0,0.9426710665316214,0.0,1.0
20201029,91821,86557,0,0.0,0.9426710665316214,0.0,1.0
20201030,91893,86625,0,0.0,0.9426724560086187,0.0,1.0
20201031,91921,86650,0,0.0,0.9426572817963251,0.0,1.0
20201101,91955,86680,0,0.0,0.9426349845032896,0.0,1.0
20201102,92015,86708,0,0.0,0.9423246209857089,0.0,1.0
20201103,92045,86733,0,0.0,0.9422890977239394,0.0,1.0
20201104,92077,86762,1,1.0860475471616148e-05,0.9422765728683602,1.1525650334820142e-05,0.9999884743496652
20201105,92121,86787,1,1.0855288153624038e-05,0.9420978929885694,1.1522330276075033e-05,0.9999884776697239
20201106,92164,86824,0,0.0,0.9420598064320125,0.0,1.0
20201107,92164,86824,0,0.0,0.9420598064320125,0.0,1.0
20201108,92242,86893,0,0.0,0.9420112313262938,0.0,1.0
20201109,92271,86919,0,0.0,0.9419969437851546,0.0,1.0
20201110,92299,86949,1,1.0834353568294347e-05,0.9420362084096252,1.1500862564692352e-05,0.9999884991374353
20201111,92336,86979,0,0.0,0.94198362502166,0.0,1.0
20201112,92372,87020,0,0.0,0.9420603646126532,0.0,1.0
20201113,92372,87020,0,0.0,0.9420603646126532,0.0,1.0
20201114,92428,87078,0,0.0,0.942117107370061,0.0,1.0
20201115,92452,87108,0,0.0,0.9421970319733484,0.0,1.0
20201116,92452,87108,0,0.0,0.9421970319733484,0.0,1.0
20201117,92490,87206,0,0.0,0.9428694994053411,0.0,1.0
20201118,92513,87241,0,0.0,0.9430134143309589,0.0,1.0
20201119,92544,87272,0,0.0,0.9430325034578146,0.0,1.0
20201120,92588,87297,0,0.0,0.9428543655765326,0.0,1.0
20201121,92648,87314,0,0.0,0.9424272515326828,0.0,1.0
20201122,92733,87339,0,0.0,0.9418330044320792,0.0,1.0
20201123,92829,87365,0,0.0,0.9411390836915188,0.0,1.0
20201124,92914,87392,0,0.0,0.9405686979357255,0.0,1.0
20201125,93025,87441,0,0.0,0.9399731255038968,0.0,1.0
20201126,93113,87457,0,0.0,0.9392566021930343,0.0,1.0
20201127,93225,87492,0,0.0,0.9385036202735317,0.0,1.0
20201128,93329,87524,1,1.0714783186362224e-05,0.9378006836031673,1.1425307055127106e-05,0.9999885746929449
20201129,93465,87562,0,0.0,0.9368426683785375,0.0,1.0
20201130,93577,87579,0,0.0,0.935903053100655,0.0,1.0
20201201,93668,87615,0,0.0,0.9353781440833583,0.0,1.0
20201202,93798,87671,1,1.0661208128105077e-05,0.9346787777991002,1.1406150196185783e-05,0.9999885938498038
20201203,93905,87719,1,1.0649060220435547e-05,0.9341249134763857,1.1399908800729594e-05,0.9999886000911993
20201204,94038,87773,1,1.063399902167209e-05,0.9333779961292243,1.1392895390434525e-05,0.9999886071046096
20201205,94038,87773,1,1.063399902167209e-05,0.9333779961292243,1.1392895390434525e-05,0.9999886071046096
20201206,94293,87904,0,0.0,0.9322431145472092,0.0,1.0
20201207,94383,87978,0,0.0,0.9321382028543276,0.0,1.0
20201208,94500,88065,0,0.0,0.9319047619047619,0.0,1.0
20201209,94618,88167,2,2.1137627089982878e-05,0.9318205838212602,2.2683709693883338e-05,0.9999773162903061
20201210,94749,88297,0,0.0,0.9319042945044275,0.0,1.0
20201211,94849,88410,0,0.0,0.9321131482672458,0.0,1.0
20201212,94950,88545,1,1.0531858873091101e-05,0.9325434439178515,1.1293564926704764e-05,0.9999887064350733
20201213,95064,88646,2,2.1038458301775647e-05,0.9324875873096019,2.2561140691273352e-05,0.9999774388593087
20201214,95167,88728,3,3.152353231687455e-05,0.9323399918038816,3.381005511038983e-05,0.9999661899448896
20201215,95279,88822,3,3.14864765583182e-05,0.9322306069543131,3.3774275260343374e-05,0.9999662257247397
20201216,95375,88938,0,0.0,0.9325085190039318,0.0,1.0
20201217,95491,89045,2,2.094438219308626e-05,0.932496256191683,2.246004918750772e-05,0.9999775399508125
20201218,95582,89157,4,4.184888368102781e-05,0.932780230587349,4.4862664169311696e-05,0.9999551373358306
20201219,95716,89291,0,0.0,0.9328743365790464,0.0,1.0
20201220,95816,89408,1,1.0436670284712365e-05,0.9331218168155632,1.1184556364571799e-05,0.9999888154436354
20201221,95916,89488,1,1.0425789232244882e-05,0.9329830268151299,1.1174557766876375e-05,0.9999888254422331
20201222,95998,89593,1,1.0416883685076772e-05,0.9332798599970833,1.116146170502489e-05,0.999988838538295
20201223,96074,89739,1,1.0408643337427399e-05,0.9340612444573975,1.1143302874972142e-05,0.999988856697125
20201224,96159,89839,2,2.0798885179754365e-05,0.9342755228319762,2.226155096225554e-05,0.9999777384490377
20201225,96240,89970,1,1.0390689941812136e-05,0.934850374064838,1.1114692512031654e-05,0.999988885307488
20201226,96324,90070,0,0.0,0.9350732942984096,0.0,1.0
20201227,96417,90171,1,1.037161496416607e-05,0.9352188929338188,1.1089917047420486e-05,0.9999889100829525
20201228,96513,90240,4,4.1445193911701014e-05,0.9350035746479749,4.432427640618767e-05,0.9999556757235938
20201229,96592,90358,2,2.0705648500911048e-05,0.9354604936226603,2.2133687472332892e-05,0.9999778663125277
20201230,96673,90479,4,4.1376599464173035e-05,0.935928335729728,4.420719914238034e-05,0.9999557928008577
20201231,96762,90594,1,1.0334635497406007e-05,0.9362559682519997,1.1038136762514487e-05,0.9999889618632375
20210101,96825,90713,0,0.0,0.9368758068680609,0.0,1.0
20210102,96894,90785,2,2.0641112968811278e-05,0.936951720436766,2.202958573364028e-05,0.9999779704142664
20210103,96972,90848,0,0.0,0.9368477498659407,0.0,1.0
20210104,97061,90909,3,3.090839781168544e-05,0.9366171788875037,3.2998944033790916e-05,0.9999670010559663
20210105,97127,91003,0,0.0,0.9369485313043747,0.0,1.0
20210106,97217,91100,1,1.0286266805188394e-05,0.9370789059526626,1.0976827916268756e-05,0.9999890231720837
20210107,97306,91186,0,0.0,0.9371056255523812,0.0,1.0
20210108,97387,91257,1,1.026831096552928e-05,0.9370552537813055,1.0957943413180215e-05,0.9999890420565868
20210109,97518,91350,2,2.050903422957813e-05,0.9367501384359811,2.189333566862247e-05,0.9999781066643314
20210110,97652,91417,1,1.0240445664195306e-05,0.9361508212837423,1.0938764794679385e-05,0.9999890612352054
20210111,97754,91498,1,1.0229760419010987e-05,0.9360026188186673,1.0929081192144176e-05,0.9999890709188078
20210112,97933,91588,0,0.0,0.935210807388725,0.0,1.0
20210113,98117,91684,3,3.057574120692643e-05,0.9344354189386141,3.2720014833073394e-05,0.9999672799851669
20210114,98288,91757,0,0.0,0.9335524173856422,0.0,1.0
20210115,98459,91841,0,0.0,0.9327842045927747,0.0,1.0
20210116,98626,91909,1,1.0139314176789083e-05,0.9318942266745077,1.088020890001088e-05,0.9999891197911
20210117,98794,91960,0,0.0,0.9308257586493107,0.0,1.0
20210118,99026,92019,1,1.0098358006988064e-05,0.9292408054450346,1.0867202782003912e-05,0.999989132797218
20210119,99191,92088,2,2.016311963787037e-05,0.9283906806061034,2.1717884678032358e-05,0.9999782821153219
20210120,99414,92148,1,1.005894542016215e-05,0.9269117025771019,1.0851989712313753e-05,0.9999891480102877
20210121,99589,92216,1,1.0041269618130516e-05,0.9259657191055237,1.0843987551102291e-05,0.9999891560124489
20210122,99767,92303,1,1.0023354415788788e-05,0.9251856826405525,1.0833766684000694e-05,0.999989166233316
20210123,99931,92392,0,0.0,0.9245579449820376,0.0,1.0
20210124,100136,92496,1,9.986418470879604e-06,0.9237037628824798,1.081116144307383e-05,0.9999891888385569
20210125,100291,92562,3,2.991295330587989e-05,0.9229342612996181,3.2409658078107274e-05,0.9999675903419218
20210126,100431,92717,2,1.9914169927611993e-05,0.9231910465892006,2.1570551882569915e-05,0.9999784294481174
20210127,100548,92879,2,1.9890997334606358e-05,0.9237279707204519,2.153292923202808e-05,0.999978467070768
20210128,100641,93032,2,1.9872616528055166e-05,0.9243946304190142,2.1497517036782252e-05,0.9999785024829633
20210129,100747,93240,1,9.925853871579302e-06,0.9254866149860542,1.0724895700389314e-05,0.9999892751042996
20210130,100932,93513,4,3.963064241271351e-05,0.9264950659850196,4.27729717591454e-05,0.9999572270282409
20210131,100974,93608,0,0.0,0.9270505278586567,0.0,1.0
20210201,101039,93726,1,9.897168420115004e-06,0.9276220073436989,1.0669284197723175e-05,0.9999893307158023
20210202,101092,93893,2,1.9783959165908283e-05,0.9287876389823131,2.130038873209436e-05,0.999978699611268
20210203,101143,94114,1,9.886991685039992e-06,0.9305043354458539,1.0625298836529777e-05,0.9999893747011634
20210204,101187,94298,2,1.9765384881457103e-05,0.9319181317758211,2.1208907741251324e-05,0.9999787910922587
20210205,101241,94447,0,0.0,0.9328928003476852,0.0,1.0
20210206,101272,94595,0,0.0,0.9340686468125444,0.0,1.0
20210207,101316,94727,0,0.0,0.9349658494216115,0.0,1.0
20210208,101363,94837,0,0.0,0.935617533024871,0.0,1.0
20210209,101408,94999,2,1.9722309876932787e-05,0.9367998579993689,2.1052409974631847e-05,0.9999789475900254
20210210,101429,95141,1,9.859113271352374e-06,0.9380058957497363,1.0510605200647453e-05,0.9999894893947994
20210211,101463,95272,2,1.97116190138277e-05,0.9389826833426963,2.099208598358419e-05,0.9999790079140164
20210212,101496,95395,1,9.852605028769606e-06,0.9398892567194767,1.04826198163445e-05,0.9999895173801836
20210213,101515,95500,1,9.850760971285031e-06,0.9407476727577205,1.0471094543512633e-05,0.9999895289054564
20210214,101536,95587,0,0.0,0.9414099432713521,0.0,1.0
20210215,101561,95655,0,0.0,0.9418477565207117,0.0,1.0
20210216,101576,95734,2,1.9689690478065685e-05,0.9424864141135701,2.0890782986546335e-05,0.9999791092170135
20210217,101604,95839,2,1.968426439903941e-05,0.9432601078697689,2.0867895785728447e-05,0.9999791321042143
20210218,101624,95928,0,0.0,0.9439502479729198,0.0,1.0
20210219,101646,95997,0,0.0,0.9444247683135588,0.0,1.0
20210220,101669,96072,0,0.0,0.9449488044536682,0.0,1.0
20210221,101700,96132,0,0.0,0.9452507374631268,0.0,1.0
20210222,101726,96178,0,0.0,0.9454613373178932,0.0,1.0
20210223,101749,96220,0,0.0,0.945660399610807,0.0,1.0
20210224,101778,96356,1,9.825306058283716e-06,0.9467271905519857,1.0378073206928402e-05,0.9999896219267931
20210225,101802,96419,0,0.0,0.9471228463095027,0.0,1.0
20210226,101836,96465,0,0.0,0.9472583369338937,0.0,1.0
20210227,101878,96520,0,0.0,0.9474076837001119,0.0,1.0
20210228,101920,96565,1,9.811616954474098e-06,0.9474587912087912,1.0355611705983472e-05,0.999989644388294
20210301,101945,96597,1,9.8092108489872e-06,0.9475403403796164,1.0352181204579806e-05,0.9999896478187954
20210302,101968,96637,0,0.0,0.947718892201475,0.0,1.0
20210303,101995,96678,0,0.0,0.9478699936271386,0.0,1.0
20210304,102015,96703,1,9.802480027446944e-06,0.9479292260942018,1.0340833884844474e-05,0.9999896591661152
20210305,102034,96729,0,0.0,0.9480075269027971,0.0,1.0
20210306,102064,96764,2,1.9595547891519047e-05,0.9480717980874745,2.066841659260484e-05,0.9999793315834073
20210307,102082,96772,0,0.0,0.947982994063596,0.0,1.0
20210308,102125,96797,0,0.0,0.9478286413708691,0.0,1.0
20210309,102160,96844,1,9.788566953797964e-06,0.94796397807361,1.032577830553978e-05,0.9999896742216945
